subject_id,epoch_idx
SC4001,0
SC4001,1
SC4001,2
SC4001,3
SC4001,4
SC4001,5
SC4001,6
SC4001,7
SC4001,9
SC4001,10
SC4001,11
SC4001,12
SC4001,13
SC4001,14
SC4001,15
SC4001,16
SC4001,17
SC4001,18
SC4001,19
SC4001,20
SC4001,21
SC4001,22
SC4001,23
SC4001,25
SC4001,26
SC4001,27
SC4001,28
SC4001,29
SC4001,30
SC4001,31
SC4001,33
SC4001,37
SC4001,38
SC4001,39
SC4001,40
SC4001,41
SC4001,44
SC4001,47
SC4001,51
SC4001,52
SC4001,53
SC4001,55
SC4001,56
SC4001,57
SC4001,58
SC4001,59
SC4001,60
SC4001,61
SC4001,62
SC4001,63
SC4001,64
SC4001,65
SC4001,66
SC4001,67
SC4001,68
SC4001,69
SC4001,70
SC4002,0
SC4002,6
SC4002,12
SC4002,14
SC4002,16
SC4002,18
SC4002,20
SC4002,23
SC4002,28
SC4002,29
SC4002,30
SC4002,33
SC4002,38
SC4002,39
SC4002,40
SC4002,41
SC4002,42
SC4002,43
SC4002,44
SC4011,0
SC4011,1
SC4011,2
SC4011,3
SC4011,4
SC4011,5
SC4011,6
SC4011,7
SC4011,8
SC4011,9
SC4011,10
SC4011,11
SC4011,12
SC4011,13
SC4011,14
SC4011,15
SC4011,16
SC4011,17
SC4011,18
SC4011,19
SC4011,20
SC4011,21
SC4011,22
SC4011,23
SC4011,24
SC4011,25
SC4011,26
SC4011,27
SC4011,28
SC4012,0
SC4012,1
SC4012,2
SC4012,3
SC4012,4
SC4012,5
SC4012,6
SC4012,7
SC4012,8
SC4012,9
SC4012,10
SC4012,11
SC4012,12
SC4012,13
SC4012,14
SC4012,15
SC4012,16
SC4012,17
SC4012,18
SC4012,19
SC4012,20
SC4012,21
SC4012,22
SC4012,23
SC4012,24
SC4012,25
SC4012,26
SC4012,27
SC4012,28
SC4012,29
SC4012,30
SC4012,31
SC4012,32
SC4012,33
SC4012,34
SC4012,35
SC4012,36
SC4012,37
SC4021,0
SC4021,1
SC4021,2
SC4021,3
SC4021,4
SC4021,5
SC4021,6
SC4021,7
SC4021,8
SC4021,9
SC4021,10
SC4021,11
SC4021,12
SC4021,13
SC4021,14
SC4021,15
SC4021,16
SC4021,17
SC4021,18
SC4021,19
SC4021,20
SC4021,21
SC4021,22
SC4021,23
SC4021,24
SC4021,25
SC4021,26
SC4021,27
SC4021,28
SC4021,29
SC4021,30
SC4021,31
SC4021,33
SC4021,34
SC4021,35
SC4021,36
SC4021,37
SC4021,38
SC4021,39
SC4021,40
SC4021,41
SC4021,42
SC4021,43
SC4021,44
SC4021,45
SC4021,46
SC4021,47
SC4021,48
SC4021,49
SC4021,51
SC4021,52
SC4021,53
SC4021,54
SC4021,55
SC4021,56
SC4022,0
SC4022,1
SC4022,2
SC4022,3
SC4022,4
SC4022,6
SC4022,7
SC4022,8
SC4022,9
SC4022,10
SC4022,11
SC4022,12
SC4022,15
SC4022,16
SC4022,17
SC4022,19
SC4022,20
SC4022,21
SC4022,22
SC4022,23
SC4022,24
SC4022,25
SC4022,29
SC4022,30
SC4022,31
SC4022,33
SC4022,34
SC4022,35
SC4022,38
SC4022,41
SC4022,42
SC4022,43
SC4022,44
SC4031,0
SC4031,2
SC4031,4
SC4031,5
SC4031,9
SC4031,11
SC4031,15
SC4031,16
SC4031,19
SC4031,20
SC4032,0
SC4032,2
SC4032,18
SC4032,20
SC4032,23
SC4032,26
SC4032,28
SC4032,42
SC4032,43
SC4041,0
SC4041,1
SC4041,2
SC4041,3
SC4041,4
SC4041,5
SC4041,6
SC4041,7
SC4041,8
SC4041,9
SC4041,10
SC4041,11
SC4041,12
SC4041,13
SC4041,14
SC4042,0
SC4042,1
SC4042,3
SC4042,4
SC4042,6
SC4042,8
SC4042,9
SC4042,10
SC4042,11
SC4042,14
SC4042,17
SC4042,18
SC4042,19
SC4042,21
SC4042,23
