subject_id,epoch_idx
SC4001,0
SC4001,1
SC4001,2
SC4001,3
SC4001,4
SC4001,5
SC4001,6
SC4001,7
SC4001,8
SC4001,9
SC4001,10
SC4001,11
SC4001,12
SC4001,13
SC4001,14
SC4001,15
SC4001,16
SC4001,17
SC4001,19
SC4001,21
SC4001,22
SC4001,23
SC4001,24
SC4001,25
SC4001,26
SC4001,27
SC4001,29
SC4001,30
SC4001,31
SC4001,32
SC4001,33
SC4001,34
SC4001,35
SC4001,36
SC4001,37
SC4001,38
SC4001,39
SC4002,0
SC4002,1
SC4002,3
SC4002,4
SC4002,5
SC4002,6
SC4002,7
SC4002,8
SC4002,9
SC4002,11
SC4002,12
SC4002,13
SC4002,14
SC4002,15
SC4002,16
SC4002,17
SC4002,18
SC4002,20
SC4002,21
SC4002,22
SC4002,23
SC4002,26
SC4002,27
SC4002,28
SC4002,29
SC4002,30
SC4002,31
SC4002,32
SC4002,33
SC4002,34
SC4002,35
SC4002,36
SC4011,0
SC4011,1
SC4011,2
SC4011,3
SC4011,4
SC4011,5
SC4011,6
SC4011,7
SC4011,8
SC4011,9
SC4011,10
SC4011,11
SC4011,12
SC4011,13
SC4011,15
SC4011,16
SC4011,17
SC4011,18
SC4011,19
SC4011,20
SC4011,21
SC4011,22
SC4011,23
SC4011,24
SC4011,25
SC4011,26
SC4011,27
SC4011,28
SC4011,29
SC4011,30
SC4011,31
SC4011,32
SC4011,33
SC4011,34
SC4011,35
SC4011,36
SC4011,37
SC4011,38
SC4011,39
SC4012,0
SC4012,1
SC4012,2
SC4012,3
SC4012,4
SC4012,5
SC4012,6
SC4012,7
SC4012,8
SC4012,9
SC4012,10
SC4012,11
SC4012,12
SC4012,13
SC4012,14
SC4012,15
SC4012,16
SC4012,17
SC4012,18
SC4012,19
SC4012,20
SC4012,21
SC4012,22
SC4012,23
SC4012,24
SC4012,25
SC4012,26
SC4012,27
SC4012,28
SC4012,29
SC4012,30
SC4012,31
SC4012,32
SC4012,33
SC4012,34
SC4012,35
SC4012,36
SC4012,37
